year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio
2054,6853943932.096523,3627024770.2753224,7861523571.446916,4160223808.1074114,-1007579639.3503923,-533199037.83208877,198016564433.01794,104787986484.6932,25.188064709519523
2055,6710228408.55347,3481345335.4270744,7881046407.314092,4088779468.8797727,-1170817998.760622,-607434133.4526981,196845746434.25732,102125885949.57986,24.977107894146197
2056,6570405759.082186,3341964413.857177,7882634053.932838,4009414861.3710847,-1312228294.8506527,-667450447.5139081,195533518139.40668,99455967150.11342,24.805606451037804
2057,6431879234.185087,3207357279.410371,7878035022.252991,3928505504.5462713,-1446155788.0679035,-721148225.1359006,194087362351.33878,96784701922.03412,24.636519360868864
2058,6294630564.555991,3077368707.3496175,7867898868.015871,3846520541.7073445,-1573268303.4598799,-769151834.3577272,192514094047.8789,94117810834.30318,24.468297988739547
2059,6158036511.131851,2951558360.4405065,7852962766.43935,3763939669.018275,-1694926255.307499,-812381308.5777684,190819167792.5714,91459982254.46457,24.29900325111202
2060,6022112536.608087,2829813476.945716,7833735192.475462,3681101820.620739,-1811622655.8673754,-851288343.6750231,189007545136.70404,88815360925.40788,24.127385020398886
2061,5886851780.265789,2712013662.2812757,7679817019.425211,3538014792.613153,-1792965239.159422,-826001130.3318775,187214579897.54462,86247882129.87192,24.377479232123232
2062,5754874686.524794,2599228565.546284,7526618845.091105,3399448948.8968477,-1771744158.5663118,-800220383.3505633,185442835738.9783,83756526802.79839,24.638265807750443
2063,5626145106.514157,2491261734.41661,7374500339.572132,3265434886.3392787,-1748355233.0579748,-774173151.922669,183694480505.92032,81340068811.60515,24.909413797189988
2064,5500684508.292574,2387948703.072743,7223768675.819827,3135971353.1499925,-1723084167.5272532,-748022650.0772492,181971396338.39307,78997142851.49643,25.190645562545107
2065,5378438719.057803,2289097597.0261817,7074667849.650283,3011023462.442614,-1696229130.5924797,-721925865.4164327,180275167207.8006,76726253400.75655,25.48178529918009
2066,5280664551.637813,2203415972.4193153,6954617263.266859,2901891345.321783,-1673952711.6290464,-698475372.902468,178601214496.17154,74523341686.66277,25.680955217983552
2067,5184813386.366924,2121000988.666058,6836544262.968409,2796690268.340757,-1651730876.6014843,-675689279.6746988,176949483619.57007,72386410413.13193,25.88288421945199
2068,5090842660.676956,2041724989.2093532,6720616846.517666,2695359545.1743617,-1629774185.8407097,-653634555.9650086,175319709433.72937,70313434476.51727,26.08684789470962
2069,4998329162.360308,1965315370.2424915,6606472404.332352,2597628394.922682,-1608143241.972044,-632313024.6801903,173711566191.75732,68302426658.17988,26.294148459296043
2070,4907268873.815819,1891677420.2304676,6494261862.568945,2503439049.781037,-1586992988.7531261,-611761629.5505694,172124573203.0042,66351401760.82187,26.50410113504672
2071,4833222951.596285,1826601808.6543245,6262958515.075647,2366936403.6653585,-1429735563.4793625,-540334595.011034,170694837639.52484,64510059288.14765,27.254665223894285
2072,4762686872.277282,1764651346.0329347,6038313097.474654,2237291180.5835357,-1275626225.1973724,-472639834.5506012,169419211414.32745,62772516330.30003,28.057374415576767
2073,4695617078.251052,1705687175.5506546,5820242099.998925,2114208237.8373616,-1124625021.7478733,-408521062.2867071,168294586392.5796,61133161614.478035,28.91539277938467
2074,4632878282.411247,1649899265.5732489,5604140992.927992,1995793445.1902933,-971262710.5167446,-345894179.6170444,167323323682.06284,59588577991.43984,29.85708673161728
2075,4573811854.493214,1596925525.958596,5394397569.926062,1883429281.8847146,-820585715.432848,-286503755.9261186,166502737966.62997,58133670745.48549,30.865863297671652
2076,4518361923.246769,1546632780.0356054,5192347714.600297,1777337742.5625024,-673985791.353528,-230704962.5268971,165828752175.27646,56763089885.98829,31.937143136424528
2077,4466444292.164638,1498883729.1317656,4997714834.776833,1677171584.0783443,-531270542.612195,-178287854.94657874,165297481632.66428,55471800268.57136,33.07461251739175
2078,4417978290.420921,1453548172.0503175,4810230498.072553,1582602106.2108696,-392252207.65163136,-129053934.16055214,164905229425.01263,54255063976.20352,34.28218865833763
2079,4372866209.873418,1410496036.6421812,4629603191.7989645,1493308196.4671993,-256736981.92554665,-82812159.82501815,164648492443.0871,53108427032.53138,35.56427746005338
2080,4331037604.204246,1369611717.3147755,4455584493.96409,1408997401.5684998,-124546889.75984478,-39385684.253724314,164523945553.32724,52027699641.75742,36.92533398843748
2081,4292440992.56394,1330790433.5629277,4287848085.87156,1329366489.401772,4592906.6923799515,1423944.161155604,164528538460.01962,51008972612.55079,38.370887952430124
2082,4257012974.625098,1293928082.6317031,4126165923.529006,1254156845.1579227,130847051.09609222,39771237.4737804,164659385511.11572,50048567916.445145,39.90614739270754
2083,4224692932.231043,1258925821.0783288,3970316463.7636733,1183123600.7595208,254376468.46736956,75802220.31880808,164913761979.5831,49143025667.81405,41.53667937674989
2084,4200937362.6346197,1227300828.4885035,3827148463.6122527,1118098670.529583,373788899.022367,109202157.95892048,165287550878.60547,48288639087.18838,43.18817324442096
2085,4179882131.1987534,1197205448.795001,3689060399.530964,1056623864.650868,490821731.66778946,140581584.14413297,165778372610.27325,47482384610.7994,44.93783095320172
2086,4161494082.0449038,1168567380.2751958,3555889068.1974506,998510604.8572929,605605013.8474531,170056775.41790283,166383977624.1207,46721414236.98594,46.79110468101975
2087,4145741289.8201075,1141317569.714739,3427475020.942214,943579733.4400201,718266268.8778934,197737836.27471897,167102243892.9986,46003045911.75114,48.753745212434005
2088,4132593080.1313496,1115390081.8316627,3303662650.5694194,891661115.1189638,828930429.5619302,223728966.71269894,167931174322.56052,45324754370.390274,50.831816709135204
2089,4125857837.9135637,1091737485.025762,3154504505.5151095,834709035.2233436,971353332.3984542,257028449.80241856,168902527654.95898,44693062146.26347,53.54328306067146
2090,4121975005.766696,1069323582.5781487,3012552116.755177,781516874.2375344,1109422889.011519,287806708.34061426,170011950543.9705,44104534302.71657,56.43452592849764
2091,4121031254.503877,1048116425.9179385,2877459927.511595,731834540.6018094,1243571326.9922824,316281885.3161291,171255521870.96277,43556021397.78335,59.51621436447361
2092,4123040679.228237,1028066166.6678603,2748778735.7928157,685398626.3491371,1374261943.4354215,342667540.31872314,172629783814.3982,43044649302.85142,62.80235712191927
2093,4127947421.7425833,1009107496.2950388,2626191704.560609,641992124.662584,1501755717.1819744,367115371.63245493,174131539531.58017,42567751943.05541,66.30572293301579
